"original","destination","category","bytes","sha256"
".vscode/launch.json","","omitted-metadata","487","e7ef46d2151c430e3e1710dc77dc090cb287bed57350a74475ad2c5dfb319867"
"comparaison_octis.md","docs/history/comparaison_octis.md","history","1519","87a80a423051184989f39d1087035d87ce06bb41afb233fa7064c14717c16f89"
"Etiquetage_LDA/__pycache__/Dictionnaire_halids_keywords.cpython-312.pyc","","omitted-metadata","3062","338b2c58efef67a11776ec333f8849a070f1b09eb5920d6312ad4dbb36b261c5"
"Etiquetage_LDA/Dictionnaire_halids_keywords.py","experiments/original/Etiquetage_LDA/Dictionnaire_halids_keywords.py","experiment","2737","13884318a3d950f94fadfb8b82d91ffffc2ea10e37b7de0e751ac27a91d4661c"
"Etiquetage_LDA/etiquetage_articles_permanents.py","experiments/original/Etiquetage_LDA/etiquetage_articles_permanents.py","experiment","32764","954cdfba3ac0375bd5a2daa179c36f250ce2098b3f737a62db4da15eb0be612b"
"Etiquetage_LDA/hal_ids_list.py","experiments/original/Etiquetage_LDA/hal_ids_list.py","experiment","2220","f514885a3b1b074b7b22fd6269f51641b11451e7ff66971d7c48759f8fdea8b2"
"Etiquetage_LDA/lda_articles_permanents.py","experiments/original/Etiquetage_LDA/lda_articles_permanents.py","experiment","20984","a78abcbdcd7f7cea59209a1eb5699a9def820c506e18b2304cff2ecfd8ea525f"
"Etiquetage_LDA/LDA_Configuration_parametres_clés.py","experiments/original/Etiquetage_LDA/LDA_Configuration_parametres_clés.py","experiment","1427","1e96fb815c19db0fe8304ebc62e070b4ec4b4395369ff83b449ca0b5020e3aaa"
"Etiquetage_LDA/lda_visualisation__12.html","results/legacy/Etiquetage_LDA/lda_visualisation__12.html","generated-result","200105","7c2ae23270e22948c7d355750215c92bffc380b8a0e40ff2b161080a59f6fc80"
"Etiquetage_LDA/scrapping_articles_indexed.py","experiments/original/Etiquetage_LDA/scrapping_articles_indexed.py","experiment","2197","43783aac911f8bc1a9bc77a855d28386fff4c73028cf5308255df65d722b92ac"
"extracting_members_labels_from_txt_file.py","experiments/original/extracting_members_labels_from_txt_file.py","experiment","1340","1cf7193c277100dcab780257fb340752c33d2059567a41050104f098976d038d"
"graphe_article/__pycache__/Dictionnaire_halids_keywords_temp.cpython-312.pyc","","omitted-metadata","3082","4d5ce1de9254cdb725d47553b8766cab9b3c898eea245e9a630da81e1a902b40"
"graphe_article/__pycache__/filter_parameters_graph.cpython-312.pyc","","omitted-metadata","2296","2e9aa1492f30387eb63a7267881e552acc95cd08d041da8155b48e74b097d915"
"graphe_article/__pycache__/graph_to_csv.cpython-312.pyc","","omitted-metadata","1698","69a4a2fe83e6ac467cdef99357f809316754471ee5210691f4330caf17e76645"
"graphe_article/__pycache__/load_data_graph.cpython-312.pyc","","omitted-metadata","5398","2f33586e3bce158c50a2b53ba1289d928968b92038b776afd2aee18850957b1f"
"graphe_article/.DS_Store","","omitted-metadata","8196","0cdeb1f6ef43e3e42734a32465539fa48693ea601b4a866d015684929ebbb578"
"graphe_article/citation copie.txt","data/local/original/graphe_article/citation copie.txt","data","729269","24e7095a8dcb71afbfc6522ab3afd96ce7e73987cb6d48d7cbcf1ea96ddb8149"
"graphe_article/citation_commune_vf.py","experiments/original/graphe_article/citation_commune_vf.py","experiment","2751","1bc46f008f422b7e0caa42824f7d0d658af5cd8e4add72e71949f784a368cc00"
"graphe_article/citation_commune.py","experiments/original/graphe_article/citation_commune.py","experiment","2751","1bc46f008f422b7e0caa42824f7d0d658af5cd8e4add72e71949f784a368cc00"
"graphe_article/citation.txt","data/local/original/graphe_article/citation.txt","data","724679","a85b274617403ca63d4436280d15c81fc4c281aecffd53d4a85c199fdcadffe9"
"graphe_article/data.txt","data/local/original/graphe_article/data.txt","data","2164797","1e50ddfb8b062240019d2d74467aa80b692f32a7d356b1bedad81f1b11681614"
"graphe_article/Dictionnaire_halids_keywords_temp.py","experiments/original/graphe_article/Dictionnaire_halids_keywords_temp.py","experiment","2753","85363df7cd3dfe2454d9dd68fab3fa61f155d781e789f1a87327646c6e24d2c1"
"graphe_article/extract_pdf.py","experiments/original/graphe_article/extract_pdf.py","experiment","6214","4ea44fb66162acdd0fa8c1ae8910fa91bc14e0a38a8b622de5fbb15b63157829"
"graphe_article/filter_parameters_graph.py","experiments/original/graphe_article/filter_parameters_graph.py","experiment","2505","b657c7b41f23c58a36ed5628e662648f9fcd02b4d3e9cb3ee4bcf7e9ff74b687"
"graphe_article/graph_to_csv.py","experiments/original/graphe_article/graph_to_csv.py","experiment","1077","8b0ef5028eea6ea25698b2d32112f3025e585fbf178de460206e37c088427b7a"
"graphe_article/graph_topic.py","experiments/original/graphe_article/graph_topic.py","experiment","22775","b6be5a78814531ff1e4a76bd2f8971d689f4c0e550d525977b7618ec6adf0de4"
"graphe_article/graphes/.DS_Store","","omitted-metadata","6148","d5f3ec752aedb27cf7746429f4508845b71fefb04bebfe8ab28b89d489ecfb00"
"graphe_article/graphes/csv/.DS_Store","","omitted-metadata","6148","308fdba157da2bf4203255b3a59ca8b3a1717268a5257a0327740b7d28f0d715"
"graphe_article/graphes/csv/author_common_new.csv","data/local/original/graphe_article/graphes/csv/author_common_new.csv","data","40968","eaa175306861b92e113aaf3b1aa86f72efb41dd8d50ed2c60777b5ca4ee04d34"
"graphe_article/graphes/csv/graphe_citation_1.csv","data/local/original/graphe_article/graphes/csv/graphe_citation_1.csv","data","261325","5d449d5f833d8df8c53f130253a793550e02cf2dc5faa2182f0dc4734b41af1b"
"graphe_article/graphes/csv/graphe_citation_en_commun1.csv","data/local/original/graphe_article/graphes/csv/graphe_citation_en_commun1.csv","data","108717","36a0c957e88da4c682d54a77e5abf45e4dce9929ad21b4395405ab443b466860"
"graphe_article/graphes/csv/topic_common_new.csv","data/local/original/graphe_article/graphes/csv/topic_common_new.csv","data","1872","bb4ce905a00ecfd85c77692167a50190c41ced0c9b4dd669f309197c63aae37a"
"graphe_article/graphes/csv/topic_common.csv","data/local/original/graphe_article/graphes/csv/topic_common.csv","data","257727","97922e0c74cc4d5397a7841ef744aceb78396149349d32a617e5a6381ddd6e5d"
"graphe_article/graphes/fichier_de_test.gexf","results/legacy/graphe_article/graphes/fichier_de_test.gexf","generated-result","53144","3eee54d96cfd274ff4768de7783b0058129e801bbc8ec52dea384d78f5ebd486"
"graphe_article/graphes/gephi/.DS_Store","","omitted-metadata","6148","f719de1aee375381e8078196c75ea2ee5b0264b1cc60dc765727275005d4d472"
"graphe_article/graphes/gephi/graph_citation1.gephi","results/legacy/graphe_article/graphes/gephi/graph_citation1.gephi","generated-result","14741","0c664c1a7935ba14010a94ebf3e286a3eb78a5de757fd77e761de2c3fc37f33d"
"graphe_article/graphes/gephi/graph_common_citation.gephi","results/legacy/graphe_article/graphes/gephi/graph_common_citation.gephi","generated-result","37822","48a36e9c801f875ddf01d45fe8b0f18a3e76e81a93e9d085c60af7e753877d03"
"graphe_article/graphes/gephi/graph_common_topic_upgraded.gephi","results/legacy/graphe_article/graphes/gephi/graph_common_topic_upgraded.gephi","generated-result","55063","6269bee11f209bd9218e99aee6316a3e17f9eff65d831a369ca33b609c440df0"
"graphe_article/graphes/gephi/graph_common_topic.gephi","results/legacy/graphe_article/graphes/gephi/graph_common_topic.gephi","generated-result","30209","41ad17c37cd406f3773697362d5403c19d6091ebf3bb17084eed7c2171b75e00"
